month,region,product_category,customer_segment,marketing_spend,operating_cost,units_sold,average_price,revenue,gross_margin_rate,gross_margin,profit,retention_rate,churn_risk
2023-01-01,Northeast,Analytics Software,Small Business,4004.35,13012.25,154,375.48,57824.61,0.5488,31731.34,14714.74,0.8854,0.1146
2023-01-01,Northeast,Analytics Software,Mid-Market,3585.19,11788.27,137,409.96,56163.97,0.5761,32355.84,16982.39,0.8804,0.1196
2023-01-01,Northeast,Analytics Software,Enterprise,2998.56,9767.93,76,504.16,38316.15,0.6375,24426.33,11659.83,0.9037,0.0963
2023-01-01,Northeast,Implementation Services,Small Business,5489.2,13203.27,98,678.54,66497.12,0.4153,27615.65,8923.18,0.8489,0.1511
2023-01-01,Northeast,Implementation Services,Mid-Market,4217.41,13955.46,85,755.11,64184.08,0.3996,25650.35,7477.48,0.8873,0.1127
2023-01-01,Northeast,Implementation Services,Enterprise,5041.03,12073.37,59,946.75,55858.04,0.4718,26354.46,9240.06,0.9011,0.0989
2023-01-01,Northeast,Training Workshops,Small Business,2727.69,10298.38,132,261.03,34455.32,0.4781,16472.58,3446.52,0.8412,0.1588
2023-01-01,Northeast,Training Workshops,Mid-Market,1773.34,8076.73,92,277.27,25509.02,0.459,11708.38,1858.31,0.8645,0.1355
2023-01-01,Northeast,Training Workshops,Enterprise,1756.48,8408.3,75,340.08,25505.69,0.5235,13352.46,3187.68,0.9281,0.0719
2023-01-01,Northeast,Support Plans,Small Business,2672.52,8941.99,181,177.01,32038.69,0.4836,15492.53,3878.01,0.8646,0.1354
2023-01-01,Northeast,Support Plans,Mid-Market,2614.13,10275.41,165,192.81,31813.98,0.5228,16633.86,3744.32,0.8993,0.1007
2023-01-01,Northeast,Support Plans,Enterprise,1509.32,7831.84,95,225.37,21409.85,0.5608,12006.06,2664.89,0.9285,0.0715
2023-01-01,Midwest,Analytics Software,Small Business,4060.54,11242.19,143,383.32,54814.68,0.5678,31122.23,15819.5,0.8301,0.1699
